Plate,sam-name,rep,plate,sample,sampletype,full,totseq,OTUs
p1,B12_P1r1,1,P1,B12,Tagcatch,B12_P1r1,1,1
p1,B12_P1r3,3,P1,B12,Tagcatch,B12_P1r3,3,1
p1,B12_P1r4,4,P1,B12,Tagcatch,B12_P1r4,1,1
p2,E17K1_P2r1,1,P2,E17K1,ExtractBlank,E17K1_P2r1,1,1
p2,E17K1_P2r2,2,P2,E17K1,ExtractBlank,E17K1_P2r2,7,1
p2,E17K1_P2r3,3,P2,E17K1,ExtractBlank,E17K1_P2r3,1,1
p2,E18K2_P2r1,1,P2,E18K2,ExtractBlank,E18K2_P2r1,2,1
p2,E18K2_P2r2,2,P2,E18K2,ExtractBlank,E18K2_P2r2,9,1
p2,E18K2_P2r3,3,P2,E18K2,ExtractBlank,E18K2_P2r3,0,0
p2,E19K3_P2r1,1,P2,E19K3,ExtractBlank,E19K3_P2r1,1,1
p2,E19K3_P2r2,2,P2,E19K3,ExtractBlank,E19K3_P2r2,1,1
p2,E19K3_P2r3,3,P2,E19K3,ExtractBlank,E19K3_P2r3,0,0
p2,E20K4_P2r1,1,P2,E20K4,ExtractBlank,E20K4_P2r1,99,4
p2,E20K4_P2r2,2,P2,E20K4,ExtractBlank,E20K4_P2r2,87,3
p2,E20K4_P2r3,3,P2,E20K4,ExtractBlank,E20K4_P2r3,132,4
p2,E21K5_P2r1,1,P2,E21K5,ExtractBlank,E21K5_P2r1,5,1
p2,E21K5_P2r2,2,P2,E21K5,ExtractBlank,E21K5_P2r2,1,1
p2,E21K5_P2r3,3,P2,E21K5,ExtractBlank,E21K5_P2r3,6,1
p2,E22K6_P2r1,1,P2,E22K6,ExtractBlank,E22K6_P2r1,3,1
p2,E22K6_P2r2,2,P2,E22K6,ExtractBlank,E22K6_P2r2,0,0
p2,E22K6_P2r3,3,P2,E22K6,ExtractBlank,E22K6_P2r3,0,0
p2,E23K7_P2r1,1,P2,E23K7,ExtractBlank,E23K7_P2r1,12,1
p2,E23K7_P2r2,2,P2,E23K7,ExtractBlank,E23K7_P2r2,14,1
p2,E23K7_P2r3,3,P2,E23K7,ExtractBlank,E23K7_P2r3,0,0
p2,E24K8_P2r1,1,P2,E24K8,ExtractBlank,E24K8_P2r1,0,0
p2,E24K8_P2r2,2,P2,E24K8,ExtractBlank,E24K8_P2r2,3,1
p2,E24K8_P2r3,3,P2,E24K8,ExtractBlank,E24K8_P2r3,0,0
p2,E25K1_P2r1,1,P2,E25K1,ExtractBlank,E25K1_P2r1,297,3
p2,E25K1_P2r2,2,P2,E25K1,ExtractBlank,E25K1_P2r2,49,5
p2,E25K1_P2r3,3,P2,E25K1,ExtractBlank,E25K1_P2r3,53,4
p2,E26K2_P2r1,1,P2,E26K2,ExtractBlank,E26K2_P2r1,65,3
p2,E26K2_P2r2,2,P2,E26K2,ExtractBlank,E26K2_P2r2,94,2
p2,E26K2_P2r3,3,P2,E26K2,ExtractBlank,E26K2_P2r3,118,3
p2,E27K3_P2r1,1,P2,E27K3,ExtractBlank,E27K3_P2r1,0,0
p2,E27K3_P2r2,2,P2,E27K3,ExtractBlank,E27K3_P2r2,64,2
p2,E27K3_P2r3,3,P2,E27K3,ExtractBlank,E27K3_P2r3,119,2
p2,E28K4_P2r1,1,P2,E28K4,ExtractBlank,E28K4_P2r1,1,1
p2,E28K4_P2r2,2,P2,E28K4,ExtractBlank,E28K4_P2r2,5,1
p2,E28K4_P2r3,3,P2,E28K4,ExtractBlank,E28K4_P2r3,1,1
p2,E29K5_P2r1,1,P2,E29K5,ExtractBlank,E29K5_P2r1,0,0
p2,E29K5_P2r2,2,P2,E29K5,ExtractBlank,E29K5_P2r2,0,0
p2,E29K5_P2r3,3,P2,E29K5,ExtractBlank,E29K5_P2r3,0,0
p2,E30K6_P2r1,1,P2,E30K6,ExtractBlank,E30K6_P2r1,3,1
p2,E30K6_P2r2,2,P2,E30K6,ExtractBlank,E30K6_P2r2,1,1
p2,E31K7_P2r1,1,P2,E31K7,ExtractBlank,E31K7_P2r1,94,1
p2,E31K7_P2r2,2,P2,E31K7,ExtractBlank,E31K7_P2r2,1,1
p2,E31K7_P2r3,3,P2,E31K7,ExtractBlank,E31K7_P2r3,31,1
p2,E32K8_P2r1,1,P2,E32K8,ExtractBlank,E32K8_P2r1,1,1
p2,E32K8_P2r2,2,P2,E32K8,ExtractBlank,E32K8_P2r2,2,1
p2,E33K1_P2r1,1,P2,E33K1,ExtractBlank,E33K1_P2r1,29,2
p2,E33K1_P2r2,2,P2,E33K1,ExtractBlank,E33K1_P2r2,20,2
p2,E33K1_P2r3,3,P2,E33K1,ExtractBlank,E33K1_P2r3,1104,3
p2,E34K2_P2r1,1,P2,E34K2,ExtractBlank,E34K2_P2r1,4,1
p2,E34K2_P2r2,2,P2,E34K2,ExtractBlank,E34K2_P2r2,8,2
p2,E34K2_P2r3,3,P2,E34K2,ExtractBlank,E34K2_P2r3,26,2
p2,E35K3_P2r1,1,P2,E35K3,ExtractBlank,E35K3_P2r1,24,2
p2,E35K3_P2r2,2,P2,E35K3,ExtractBlank,E35K3_P2r2,34,2
p2,E35K3_P2r3,3,P2,E35K3,ExtractBlank,E35K3_P2r3,33,2
p2,E36K4_P2r1,1,P2,E36K4,ExtractBlank,E36K4_P2r1,7,1
p2,E36K4_P2r2,2,P2,E36K4,ExtractBlank,E36K4_P2r2,23,2
p2,E36K4_P2r3,3,P2,E36K4,ExtractBlank,E36K4_P2r3,34,2
p2,E37K5_P2r2,2,P2,E37K5,ExtractBlank,E37K5_P2r2,0,0
p2,E37K5_P2r3,3,P2,E37K5,ExtractBlank,E37K5_P2r3,0,0
p2,E38K6_P2r1,1,P2,E38K6,ExtractBlank,E38K6_P2r1,0,0
p2,E38K6_P2r2,2,P2,E38K6,ExtractBlank,E38K6_P2r2,0,0
p2,E38K6_P2r3,3,P2,E38K6,ExtractBlank,E38K6_P2r3,0,0
p2,E39K7_P2r1,1,P2,E39K7,ExtractBlank,E39K7_P2r1,1,1
p2,E39K7_P2r3,3,P2,E39K7,ExtractBlank,E39K7_P2r3,0,0
p2,E40K8_P2r1,1,P2,E40K8,ExtractBlank,E40K8_P2r1,35,1
p2,E40K8_P2r2,2,P2,E40K8,ExtractBlank,E40K8_P2r2,398,1
p2,E40K8_P2r3,3,P2,E40K8,ExtractBlank,E40K8_P2r3,9,1
p2,N5_P2r1,1,P2,N5,NTC,N5_P2r1,6,1
p2,N5_P2r3,3,P2,N5,NTC,N5_P2r3,0,0
p2,N6_P2r2,2,P2,N6,NTC,N6_P2r2,7,1
p2,N6_P2r3,3,P2,N6,NTC,N6_P2r3,12,1
p2,N7_P2r1,1,P2,N7,NTC,N7_P2r1,225,1
p2,N7_P2r3,3,P2,N7,NTC,N7_P2r3,32,1
p2,N8_P2r1,1,P2,N8,NTC,N8_P2r1,0,0
p2,N8_P2r2,2,P2,N8,NTC,N8_P2r2,1,1
p2,N8_P2r3,3,P2,N8,NTC,N8_P2r3,1,1
p2,N9_P2r2,2,P2,N9,NTC,N9_P2r2,908,1
p2,N9_P2r3,3,P2,N9,NTC,N9_P2r3,1,1
p2,P1010000_P2r1,1,P2,P1010000,Positive,P1010000_P2r1,64280,9
p2,P1010000_P2r2,2,P2,P1010000,Positive,P1010000_P2r2,63314,8
p2,P1010000_P2r3,3,P2,P1010000,Positive,P1010000_P2r3,65044,12
p2,P5100_P2r1,1,P2,P5100,Positive,P5100_P2r1,996,4
p2,P5100_P2r2,2,P2,P5100,Positive,P5100_P2r2,177876,9
p2,P5100_P2r3,3,P2,P5100,Positive,P5100_P2r3,310133,27
p2,P6100_P2r1,1,P2,P6100,Positive,P6100_P2r1,108456,9
p2,P6100_P2r2,2,P2,P6100,Positive,P6100_P2r2,99126,8
p2,P6100_P2r3,3,P2,P6100,Positive,P6100_P2r3,143416,15
p2,P7110000_P2r1,1,P2,P7110000,Positive,P7110000_P2r1,47350,7
p2,P7110000_P2r2,2,P2,P7110000,Positive,P7110000_P2r2,45793,4
p2,P7110000_P2r3,3,P2,P7110000,Positive,P7110000_P2r3,50185,11
p2,P810000_P2r1,1,P2,P810000,Positive,P810000_P2r1,29052,5
p2,P810000_P2r2,2,P2,P810000,Positive,P810000_P2r2,22424,7
p2,P810000_P2r3,3,P2,P810000,Positive,P810000_P2r3,21960,9
p2,P910000_P2r1,1,P2,P910000,Positive,P910000_P2r1,76344,7
p2,P910000_P2r2,2,P2,P910000,Positive,P910000_P2r2,73752,8
p2,P910000_P2r3,3,P2,P910000,Positive,P910000_P2r3,70315,11
p2,C1_P2r1,1,P2,C1,Sample,C1_P2r1,42313,22
p2,C1_P2r2,2,P2,C1,Sample,C1_P2r2,21117,14
p2,C1_P2r3,3,P2,C1,Sample,C1_P2r3,37989,19
p2,C11_P2r1,1,P2,C11,Sample,C11_P2r1,113253,21
p2,C11_P2r2,2,P2,C11,Sample,C11_P2r2,129118,22
p2,C11_P2r3,3,P2,C11,Sample,C11_P2r3,114338,24
p2,C121150_P2r1,1,P2,C121150,Sample,C121150_P2r1,33238,11
p2,C121150_P2r2,2,P2,C121150,Sample,C121150_P2r2,29159,10
p2,C121150_P2r3,3,P2,C121150,Sample,C121150_P2r3,102863,13
p2,C122_P2r1,1,P2,C122,Sample,C122_P2r1,47659,11
p2,C122_P2r2,2,P2,C122,Sample,C122_P2r2,65030,10
p2,C122_P2r3,3,P2,C122,Sample,C122_P2r3,80611,10
p2,C13_P2r1,1,P2,C13,Sample,C13_P2r1,841,4
p2,C13_P2r2,2,P2,C13,Sample,C13_P2r2,57730,11
p2,C13_P2r3,3,P2,C13,Sample,C13_P2r3,76755,11
p2,C14_P2r1,1,P2,C14,Sample,C14_P2r1,205557,28
p2,C14_P2r2,2,P2,C14,Sample,C14_P2r2,179191,29
p2,C14_P2r3,3,P2,C14,Sample,C14_P2r3,266913,33
p2,C17_P2r1,1,P2,C17,Sample,C17_P2r1,64281,20
p2,C17_P2r2,2,P2,C17,Sample,C17_P2r2,48742,24
p2,C17_P2r3,3,P2,C17,Sample,C17_P2r3,96357,26
p2,C19_P2r1,1,P2,C19,Sample,C19_P2r1,86907,18
p2,C19_P2r2,2,P2,C19,Sample,C19_P2r2,72065,20
p2,C19_P2r3,3,P2,C19,Sample,C19_P2r3,148886,24
p2,C21_P2r1,1,P2,C21,Sample,C21_P2r1,27490,19
p2,C21_P2r2,2,P2,C21,Sample,C21_P2r2,23502,17
p2,C21_P2r3,3,P2,C21,Sample,C21_P2r3,20290,21
p2,C23_P2r1,1,P2,C23,Sample,C23_P2r1,36839,13
p2,C23_P2r2,2,P2,C23,Sample,C23_P2r2,33759,15
p2,C23_P2r3,3,P2,C23,Sample,C23_P2r3,95505,21
p2,C24_P2r1,1,P2,C24,Sample,C24_P2r1,6,1
p2,C24_P2r2,2,P2,C24,Sample,C24_P2r2,17,1
p2,C24_P2r3,3,P2,C24,Sample,C24_P2r3,1507,6
p2,C26_P2r1,1,P2,C26,Sample,C26_P2r1,21284,13
p2,C26_P2r2,2,P2,C26,Sample,C26_P2r2,13342,10
p2,C26_P2r3,3,P2,C26,Sample,C26_P2r3,27212,14
p2,C27_P2r1,1,P2,C27,Sample,C27_P2r1,222963,30
p2,C27_P2r2,2,P2,C27,Sample,C27_P2r2,79159,19
p2,C27_P2r3,3,P2,C27,Sample,C27_P2r3,279150,31
p2,C28_P2r1,1,P2,C28,Sample,C28_P2r1,97025,24
p2,C28_P2r2,2,P2,C28,Sample,C28_P2r2,89612,26
p2,C28_P2r3,3,P2,C28,Sample,C28_P2r3,190602,28
p2,C29_P2r1,1,P2,C29,Sample,C29_P2r1,13904,9
p2,C29_P2r2,2,P2,C29,Sample,C29_P2r2,8863,7
p2,C29_P2r3,3,P2,C29,Sample,C29_P2r3,3887,8
p2,C31_P2r1,1,P2,C31,Sample,C31_P2r1,12401,3
p2,C31_P2r2,2,P2,C31,Sample,C31_P2r2,12442,6
p2,C31_P2r3,3,P2,C31,Sample,C31_P2r3,19492,5
p2,C33_P2r1,1,P2,C33,Sample,C33_P2r1,7066,5
p2,C33_P2r2,2,P2,C33,Sample,C33_P2r2,3499,5
p2,C33_P2r3,3,P2,C33,Sample,C33_P2r3,2058,5
p2,C38_P2r1,1,P2,C38,Sample,C38_P2r1,4773,6
p2,C38_P2r2,2,P2,C38,Sample,C38_P2r2,6436,7
p2,C38_P2r3,3,P2,C38,Sample,C38_P2r3,18888,7
p2,C4_P2r1,1,P2,C4,Sample,C4_P2r1,40144,13
p2,C4_P2r2,2,P2,C4,Sample,C4_P2r2,30001,12
p2,C4_P2r3,3,P2,C4,Sample,C4_P2r3,41703,14
p2,C8_P2r1,1,P2,C8,Sample,C8_P2r1,33700,15
p2,C8_P2r2,2,P2,C8,Sample,C8_P2r2,34975,19
p2,C8_P2r3,3,P2,C8,Sample,C8_P2r3,33880,18
p2,C81_P2r1,1,P2,C81,Sample,C81_P2r1,51449,12
p2,C81_P2r2,2,P2,C81,Sample,C81_P2r2,45515,12
p2,C81_P2r3,3,P2,C81,Sample,C81_P2r3,88349,16
p2,C9_P2r1,1,P2,C9,Sample,C9_P2r1,15143,10
p2,C9_P2r2,2,P2,C9,Sample,C9_P2r2,26174,15
p2,C9_P2r3,3,P2,C9,Sample,C9_P2r3,37648,18
p2,G1_P2r1,1,P2,G1,Sample,G1_P2r1,19416,15
p2,G1_P2r2,2,P2,G1,Sample,G1_P2r2,51227,20
p2,G1_P2r3,3,P2,G1,Sample,G1_P2r3,61317,17
p2,G3_P2r1,1,P2,G3,Sample,G3_P2r1,23777,10
p2,G3_P2r2,2,P2,G3,Sample,G3_P2r2,46347,12
p2,G3_P2r3,3,P2,G3,Sample,G3_P2r3,74880,17
p2,G5_P2r1,1,P2,G5,Sample,G5_P2r1,9581,18
p2,G5_P2r2,2,P2,G5,Sample,G5_P2r2,13250,17
p2,G5_P2r3,3,P2,G5,Sample,G5_P2r3,49435,26
p2,G51_P2r1,1,P2,G51,Sample,G51_P2r1,41686,14
p2,G51_P2r2,2,P2,G51,Sample,G51_P2r2,28484,20
p2,G51_P2r3,3,P2,G51,Sample,G51_P2r3,27836,13
p2,G52_P2r1,1,P2,G52,Sample,G52_P2r1,19218,11
p2,G52_P2r2,2,P2,G52,Sample,G52_P2r2,9203,8
p2,G52_P2r3,3,P2,G52,Sample,G52_P2r3,20245,9
p2,G6_P2r1,1,P2,G6,Sample,G6_P2r1,202868,17
p2,G6_P2r2,2,P2,G6,Sample,G6_P2r2,139968,14
p2,G6_P2r3,3,P2,G6,Sample,G6_P2r3,229783,18
p2,G7_P2r1,1,P2,G7,Sample,G7_P2r1,25759,7
p2,G7_P2r2,2,P2,G7,Sample,G7_P2r2,25057,7
p2,G7_P2r3,3,P2,G7,Sample,G7_P2r3,14012,6
p2,ID1m_P2r1,1,P2,ID1m,Sample,ID1m_P2r1,45473,22
p2,ID1m_P2r2,2,P2,ID1m,Sample,ID1m_P2r2,23081,17
p2,ID1m_P2r3,3,P2,ID1m,Sample,ID1m_P2r3,103459,27
p2,ID1P2_P2r1,1,P2,ID1P2,Sample,ID1P2_P2r1,23056,10
p2,ID1P2_P2r2,2,P2,ID1P2,Sample,ID1P2_P2r2,22305,9
p2,ID1P2_P2r3,3,P2,ID1P2,Sample,ID1P2_P2r3,116521,23
p2,ID1P4_P2r1,1,P2,ID1P4,Sample,ID1P4_P2r1,7229,6
p2,ID1P4_P2r2,2,P2,ID1P4,Sample,ID1P4_P2r2,1027,3
p2,ID1P4_P2r3,3,P2,ID1P4,Sample,ID1P4_P2r3,139124,9
p2,ID1P6_P2r1,1,P2,ID1P6,Sample,ID1P6_P2r1,23057,16
p2,ID1P6_P2r2,2,P2,ID1P6,Sample,ID1P6_P2r2,13917,13
p2,ID1P6_P2r3,3,P2,ID1P6,Sample,ID1P6_P2r3,84592,22
p2,IeS1A2_P2r1,1,P2,IeS1A2,Sample,IeS1A2_P2r1,85549,30
p2,IeS1A2_P2r2,2,P2,IeS1A2,Sample,IeS1A2_P2r2,78910,28
p2,IeS1A2_P2r3,3,P2,IeS1A2,Sample,IeS1A2_P2r3,118379,29
p2,IeS1S1_P2r1,1,P2,IeS1S1,Sample,IeS1S1_P2r1,33554,29
p2,IeS1S1_P2r2,2,P2,IeS1S1,Sample,IeS1S1_P2r2,26044,31
p2,IeS1S1_P2r3,3,P2,IeS1S1,Sample,IeS1S1_P2r3,58011,40
p2,IeS1S2_P2r1,1,P2,IeS1S2,Sample,IeS1S2_P2r1,68187,37
p2,IeS1S2_P2r2,2,P2,IeS1S2,Sample,IeS1S2_P2r2,32354,32
p2,IeS1S2_P2r3,3,P2,IeS1S2,Sample,IeS1S2_P2r3,97662,43
p2,IeS1S3_P2r1,1,P2,IeS1S3,Sample,IeS1S3_P2r1,54229,30
p2,IeS1S3_P2r2,2,P2,IeS1S3,Sample,IeS1S3_P2r2,44275,35
p2,IeS1S3_P2r3,3,P2,IeS1S3,Sample,IeS1S3_P2r3,98973,39
p2,IeS2A3_P2r1,1,P2,IeS2A3,Sample,IeS2A3_P2r1,79078,17
p2,IeS2A3_P2r2,2,P2,IeS2A3,Sample,IeS2A3_P2r2,37063,8
p2,IeS2A3_P2r3,3,P2,IeS2A3,Sample,IeS2A3_P2r3,78447,9
p2,IeS2A3150_P2r1,1,P2,IeS2A3150,Sample,IeS2A3150_P2r1,18462,11
p2,IeS2A3150_P2r2,2,P2,IeS2A3150,Sample,IeS2A3150_P2r2,9672,8
p2,IeS2A3150_P2r3,3,P2,IeS2A3150,Sample,IeS2A3150_P2r3,6028,9
p2,IeS2I1_P2r1,1,P2,IeS2I1,Sample,IeS2I1_P2r1,41365,21
p2,IeS2I1_P2r2,2,P2,IeS2I1,Sample,IeS2I1_P2r2,51411,21
p2,IeS2I1_P2r3,3,P2,IeS2I1,Sample,IeS2I1_P2r3,109277,28
p2,IeS2I2_P2r1,1,P2,IeS2I2,Sample,IeS2I2_P2r1,1266,5
p2,IeS2I2_P2r2,2,P2,IeS2I2,Sample,IeS2I2_P2r2,42165,17
p2,IeS2I2_P2r3,3,P2,IeS2I2,Sample,IeS2I2_P2r3,341618,30
p2,IeS2S2_P2r1,1,P2,IeS2S2,Sample,IeS2S2_P2r1,63782,14
p2,IeS2S2_P2r2,2,P2,IeS2S2,Sample,IeS2S2_P2r2,30914,12
p2,IeS2S2_P2r3,3,P2,IeS2S2,Sample,IeS2S2_P2r3,112910,15
p2,IeS2S3_P2r1,1,P2,IeS2S3,Sample,IeS2S3_P2r1,141499,20
p2,IeS2S3_P2r2,2,P2,IeS2S3,Sample,IeS2S3_P2r2,21887,13
p2,IeS2S3_P2r3,3,P2,IeS2S3,Sample,IeS2S3_P2r3,164370,24
p2,B13_P2r1,1,P2,B13,Tagcatch,B13_P2r1,4,1
p2,B13_P2r2,2,P2,B13,Tagcatch,B13_P2r2,2,1
p2,B13_P2r3,3,P2,B13,Tagcatch,B13_P2r3,0,0
p2,B14_P2r1,1,P2,B14,Tagcatch,B14_P2r1,17,1
p2,B14_P2r2,2,P2,B14,Tagcatch,B14_P2r2,0,0
p2,B14_P2r3,3,P2,B14,Tagcatch,B14_P2r3,15,1
p2,B15_P2r1,1,P2,B15,Tagcatch,B15_P2r1,2,1
p2,B15_P2r2,2,P2,B15,Tagcatch,B15_P2r2,2,1
p2,B15_P2r3,3,P2,B15,Tagcatch,B15_P2r3,1,1
p2,B16_P2r1,1,P2,B16,Tagcatch,B16_P2r1,3,1
p2,B16_P2r2,2,P2,B16,Tagcatch,B16_P2r2,1,1
p2,B16_P2r3,3,P2,B16,Tagcatch,B16_P2r3,6,1
p2,B17_P2r1,1,P2,B17,Tagcatch,B17_P2r1,0,0
p2,B17_P2r2,2,P2,B17,Tagcatch,B17_P2r2,0,0
p2,B17_P2r3,3,P2,B17,Tagcatch,B17_P2r3,0,0
p2,B18_P2r1,1,P2,B18,Tagcatch,B18_P2r1,0,0
p2,B18_P2r2,2,P2,B18,Tagcatch,B18_P2r2,0,0
p2,B18_P2r3,3,P2,B18,Tagcatch,B18_P2r3,10,1
p2,B19_P2r2,2,P2,B19,Tagcatch,B19_P2r2,0,0
p2,B19_P2r3,3,P2,B19,Tagcatch,B19_P2r3,3,1
p2,B20_P2r1,1,P2,B20,Tagcatch,B20_P2r1,49,4
p2,B20_P2r2,2,P2,B20,Tagcatch,B20_P2r2,33,3
p2,B20_P2r3,3,P2,B20,Tagcatch,B20_P2r3,47,1
p2,B22_P2r1,1,P2,B22,Tagcatch,B22_P2r1,23,3
p2,B22_P2r2,2,P2,B22,Tagcatch,B22_P2r2,21,3
p2,B22_P2r3,3,P2,B22,Tagcatch,B22_P2r3,32,3
p2,B23_P2r1,1,P2,B23,Tagcatch,B23_P2r1,75,5
p2,B23_P2r2,2,P2,B23,Tagcatch,B23_P2r2,70,5
p2,B23_P2r3,3,P2,B23,Tagcatch,B23_P2r3,61,5
p2,B24_P2r2,2,P2,B24,Tagcatch,B24_P2r2,1,1
p2,BLANKE7_P2r1,1,P2,BLANKE7,Blankwell,BLANKE7_P2r1,0,0
p2,BLANKE7_P2r3,3,P2,BLANKE7,Blankwell,BLANKE7_P2r3,0,0
p2,BLANKF7_P2r2,2,P2,BLANKF7,Blankwell,BLANKF7_P2r2,7,1
p2,BLANKF7_P2r3,3,P2,BLANKF7,Blankwell,BLANKF7_P2r3,3,1
p2,BLANKP2E10_P2r1,1,P2,BLANKP2E10,Blankwell,BLANKP2E10_P2r1,1,1
p2,BLANKP2E10_P2r2,2,P2,BLANKP2E10,Blankwell,BLANKP2E10_P2r2,2,1
p2,BLANKP2G10_P2r1,1,P2,BLANKP2G10,Blankwell,BLANKP2G10_P2r1,10,1
p2,BLANKP2G10_P2r2,2,P2,BLANKP2G10,Blankwell,BLANKP2G10_P2r2,2,1
p2,BLANKP2G10_P2r3,3,P2,BLANKP2G10,Blankwell,BLANKP2G10_P2r3,0,0
p2,BLANKP2G7_P2r1,1,P2,BLANKP2G7,Blankwell,BLANKP2G7_P2r1,0,0
p2,BLANKP2G7_P2r2,2,P2,BLANKP2G7,Blankwell,BLANKP2G7_P2r2,1,1
p2,BLANKP2G7_P2r3,3,P2,BLANKP2G7,Blankwell,BLANKP2G7_P2r3,5,1
p2,BLANKP2H7_P2r1,1,P2,BLANKP2H7,Blankwell,BLANKP2H7_P2r1,3,1
p2,BLANKP2H7_P2r2,2,P2,BLANKP2H7,Blankwell,BLANKP2H7_P2r2,1,1
p2,BLANKP2H7_P2r3,3,P2,BLANKP2H7,Blankwell,BLANKP2H7_P2r3,6,2